X,Y,Z,VX,VY,VZ
     -5.18,      11.63,     -11.74,     -63.64,     146.24,    -147.69 
     10.65,     -15.67,      15.57,     133.83,    -195.72,     194.73 
     22.63,      -1.27,      -5.42,     283.04,     -15.88,     -67.79 
      5.02,       0.02,       9.83,      61.40,       2.81,     127.58 
      4.93,       2.40,      12.56,      63.00,      30.96,     160.78 
     -2.17,     -10.43,     -17.16,     -26.28,    -130.38,    -214.37 
     -4.23,      -8.19,      15.68,     -52.85,    -103.47,     197.29 
     11.70,      -8.21,      12.05,     146.98,    -104.62,     151.70 
     11.29,      -8.42,      -0.11,     145.14,    -106.91,      -1.52 
    -11.94,       3.20,      10.52,    -151.15,      41.82,     133.29 
      4.41,      -6.05,      -7.36,      58.54,     -78.99,     -95.80 
     -7.62,     -12.77,       8.28,     -80.26,    -143.93,      90.19 
      0.93,     -14.49,      -9.94,      12.31,    -183.54,    -126.20 
     -7.36,       3.59,     -14.82,     -91.74,      44.35,    -185.14 
     -6.59,       6.62,      14.35,     -83.20,      84.18,     180.60 
     -8.69,      -7.95,      -1.38,    -109.69,    -101.99,     -15.61 
     -0.58,       3.92,      -3.67,      -6.92,      48.23,     -44.01 
     -4.96,      -4.21,       5.06,     -66.08,     -57.78,      66.91 
     13.07,       4.13,       1.01,     164.45,      51.95,      13.84 
      3.24,      14.97,      -3.04,      40.18,     188.86,     -37.80 
     12.10,      15.07,       2.96,     152.02,     189.25,      38.46 
     -1.60,       1.06,       3.95,     -18.87,      13.93,      55.61 
      1.55,       5.80,      18.32,      20.74,      72.21,     231.14 
     10.27,      -8.64,      12.54,     130.28,    -109.92,     158.60 
     10.11,      10.30,      -8.38,     128.64,     130.14,    -106.13 
     -6.76,      -8.73,      13.90,     -85.13,    -110.11,     174.93 
      3.26,      21.80,      -3.40,      40.86,     273.13,     -42.73 
      4.16,       3.91,      -3.86,      56.13,      56.82,     -53.61 
     -5.15,       4.47,      -4.22,     -69.75,      59.69,     -56.28 
     -2.90,      10.17,      16.05,     -36.61,     128.11,     201.89 
     12.94,     -18.41,     -20.92,     145.88,    -205.26,    -232.90 
     -3.33,      -2.29,      12.69,     -43.11,     -27.50,     160.44 
    -15.48,      -2.69,      10.52,    -193.77,     -32.74,     131.51 
     -7.31,       3.22,      -6.93,     -85.35,      24.68,     -83.50 
     -5.55,      -1.16,       5.37,     -74.07,     -18.18,      70.25 
    -10.84,       6.78,      -7.19,    -134.79,      84.40,     -89.99 
     13.39,       9.57,       8.53,     168.71,     120.99,     107.12 
      1.16,     -12.59,      15.30,      14.85,    -157.72,     192.19 
    -11.09,      -7.73,      -5.67,    -139.36,     -98.00,     -71.06 
      5.88,       7.59,      11.27,      74.02,      95.37,     141.59 
     -8.21,       8.29,       3.65,    -102.43,     102.38,      45.35 
    -16.14,      11.96,       2.85,    -201.56,     149.19,      36.03 
      4.46,      22.49,      -5.58,      56.94,     281.78,     -70.08 
     -9.54,       7.86,      -6.44,    -120.79,      99.94,     -82.11 
      9.42,       4.55,       8.43,     119.86,      57.62,     107.52 
      4.52,      14.80,     -10.81,      56.90,     185.03,    -135.25 
    -12.27,       5.99,       4.53,    -154.66,      77.30,      58.43 
     -7.59,       4.03,      12.30,     -96.44,      52.08,     155.04 
     -4.71,      -1.85,      17.34,     -59.33,     -23.00,     217.86 
     -4.49,      -5.08,      -6.31,     -58.47,     -67.36,     -83.97 
      2.83,      -9.61,      -8.57,      36.92,    -123.40,    -110.11 
     13.26,       5.74,      -1.00,     168.31,      73.56,     -10.55 
      6.17,       2.98,      16.88,      77.70,      37.45,     211.64 
     -8.66,       5.21,      -9.68,    -107.29,      64.12,    -120.36 
      8.53,      16.09,      17.59,     107.90,     202.31,     222.16 
    -14.48,      -4.29,      -9.18,    -182.62,     -54.08,    -116.18 
     -1.67,     -13.82,       0.45,     -21.81,    -174.12,       7.45 
      3.17,     -22.17,       2.36,      39.86,    -277.42,      29.08 
     -0.89,     -17.91,     -11.31,      -9.90,    -223.23,    -141.53 
     -0.51,      11.93,     -15.10,      -6.03,     150.19,    -189.81 
     -1.41,       4.68,     -21.92,     -17.56,      58.51,    -274.79 
     -8.81,       1.49,      -1.08,    -111.39,      21.60,     -10.38 
      1.30,       7.45,     -11.50,      16.56,      93.73,    -146.57 
    -10.10,      -4.41,      12.50,    -128.09,     -56.02,     158.34 
     15.73,      -2.53,     -10.48,     198.33,     -32.48,    -131.99 
     11.32,     -13.06,      -6.35,     141.82,    -163.81,     -81.37 
      0.47,     -12.96,     -12.90,       6.09,    -162.45,    -161.95 
     -9.34,      13.28,      -7.99,    -115.04,     164.56,     -99.04 
     -2.95,      15.84,      -9.34,     -37.50,     198.21,    -117.41 
      4.98,      -8.40,       7.97,      64.76,    -107.60,     101.74 
     -0.30,       6.98,      -7.85,      -3.96,      90.16,    -100.80 
     -3.18,     -10.99,      -2.55,     -42.25,    -138.98,     -31.27 
    -16.72,      -5.49,       7.68,    -208.68,     -68.11,      96.40 
      6.73,      -9.99,     -12.37,      84.60,    -127.03,    -156.23 
      0.37,      14.47,      16.14,       4.93,     181.27,     201.81 
      3.68,       7.21,       8.72,      46.43,      90.27,     109.51 
     -2.93,      -4.68,      -0.42,     -36.41,     -56.69,      -5.83 
     -4.61,     -11.80,       8.84,     -60.01,    -145.09,     108.03 
     -2.59,       7.81,       6.17,     -33.28,      98.83,      79.27 
     -0.97,      -9.34,      20.13,     -12.06,    -117.96,     253.45 
      9.04,      -5.49,     -14.14,     114.29,     -69.81,    -178.34 
     11.73,      13.89,      -3.53,     148.12,     175.05,     -43.64 
     -3.42,     -11.72,      -7.01,     -43.70,    -148.43,     -90.29 
      8.00,       2.63,     -13.54,     100.21,      33.24,    -169.06 
     -9.87,     -10.99,      -7.09,    -122.78,    -137.31,     -88.76 
     18.36,      -9.21,      -7.71,     230.67,    -115.45,     -96.88 
     -4.93,      -5.95,      -4.03,     -64.80,     -78.03,     -55.06 
    -10.76,       2.33,     -11.75,    -137.04,      30.54,    -149.58 
     -8.52,      -7.61,       9.06,    -105.37,     -95.66,     117.04 
     -2.95,      -4.13,      -4.25,     -37.71,     -57.33,     -59.54 
     -6.85,       5.09,      -2.58,     -83.59,      62.59,     -33.03 
    -11.43,      -0.49,      -9.64,    -142.70,      -6.06,    -120.63 
     -0.64,       8.15,      -7.25,     -10.58,     104.61,     -94.56 
      4.50,       9.26,      13.19,      55.78,     116.41,     165.30 
     -1.82,      -2.44,       2.27,     -21.79,     -33.91,      16.41 
      6.15,       6.64,      -1.84,      80.40,      87.15,     -25.81 
     -6.85,     -13.06,     -13.90,     -85.68,    -164.01,    -174.92 
     -4.43,      -4.27,      -4.05,     -60.83,     -59.46,     -55.34 
     19.56,      -0.81,      -5.00,     246.48,     -10.62,     -63.22 
      3.17,       2.58,      -1.54,      42.15,      37.86,     -13.49 
    -10.54,      -7.55,       1.18,    -133.52,     -96.18,      14.76 
      3.24,      10.21,      13.01,      40.74,     125.83,     160.10 
     21.01,      -1.26,     -12.27,     264.20,     -15.87,    -154.14 
    -10.07,      -2.27,     -13.10,    -124.93,     -28.68,    -163.45 
     -2.46,      16.15,      11.88,     -30.22,     202.49,     148.98 
     -0.04,      -6.50,      -9.52,       1.57,     -83.46,    -121.87 
     -1.41,      -5.89,      -9.52,     -17.01,     -73.69,    -118.10 
     -9.79,       1.91,      -5.99,    -125.22,      26.60,     -77.63 
     -5.23,       5.31,      -2.78,     -66.14,      71.53,     -31.46 
      4.49,       2.99,       5.58,      60.04,      41.64,      73.71 
      6.33,       9.10,      -5.78,      80.97,     117.87,     -71.76 
     -2.33,     -14.65,      -6.52,     -29.70,    -184.86,     -82.18 
     19.39,     -16.05,       1.08,     242.96,    -201.17,      13.49 
     -1.49,      10.47,      19.16,     -17.85,     131.92,     241.14 
      2.59,      -9.47,       9.90,      33.98,    -121.19,     126.77 
    -18.37,       5.07,     -11.77,    -230.50,      62.86,    -148.29 
     -9.77,     -12.62,      -6.70,    -123.03,    -158.84,     -85.15 
    -14.82,       9.11,      -5.85,    -185.87,     114.06,     -73.71 
      8.38,       7.39,       5.12,     107.36,      95.58,      67.22 
     -7.23,      -2.40,       5.21,     -94.70,     -34.29,      69.61 
     -6.70,      18.12,      -4.40,     -83.66,     226.37,     -55.03 
     -1.02,       1.26,     -12.02,     -14.12,      15.73,    -150.95 
     -0.54,       8.22,      -8.26,      -6.60,     106.42,    -106.46 
     -8.55,      -0.79,      -2.28,    -106.44,     -10.16,     -29.27 
     -8.80,       5.69,      12.59,    -111.11,      71.38,     158.41 
     17.67,      -9.30,      -7.20,     223.08,    -117.53,     -90.81 
     -2.50,     -17.84,       6.17,     -30.86,    -223.89,      78.09 
     -6.38,      -7.93,      -1.58,     -80.35,    -101.94,     -21.28 
     -3.15,       9.53,      -0.49,     -38.49,     125.63,     -13.88 
      0.88,     -18.82,      -6.18,      11.27,    -236.28,     -78.14 
      8.84,       4.89,      -8.97,     112.84,      63.80,    -114.03 
     16.57,      -1.68,       3.32,     204.10,     -22.41,      41.14 
      0.69,     -19.48,      -9.75,       9.38,    -243.77,    -122.78 
     -4.16,      -6.22,       8.51,     -55.19,     -80.21,     109.95 
